Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Standalone Prospectus,Standalone prospectus,Max 50000,,04/04/2025,SLOVAKIA,Debt with denomination < €100.000,"Lucron Finance, s.r.o. - 097900BIGF0000158939",SK4000027033,,09/04/2025,,NBS1-000-107-718
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,25/03/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000024808,,27/03/2025,,100-000-873-824
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 8000000,,24/03/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000024642,,25/03/2025,,100-000-872-567
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 8000000,,24/03/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000024642,,25/03/2025,,100-000-872-569
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 4000000,,11/03/2025,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025367,,12/03/2025,,100-000-864-045
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5500000,,11/03/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000027082,,12/03/2025,,100-000-864-082
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,07/03/2025,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000027066,,07/03/2025,,100-000-861-138
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,07/03/2025,SLOVAKIA,Debt with denomination < €100.000 available only to qualified investors,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000027074,,07/03/2025,,100-000-861-140
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1500000,,04/03/2025,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026977,,04/03/2025,,100-000-859-084
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 35000000,28/02/2025,28/02/2025,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003570350,28/02/2025,28/02/2025,CZECHIA,100-000-855-909
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 35000000,28/02/2025,28/02/2025,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003570343,28/02/2025,28/02/2025,CZECHIA,100-000-855-913
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 15000000,,19/02/2025,SLOVAKIA,Debt with denomination < €100.000,"Alto Funding 2, s. r. o. - 097900CAKA0000232387",SK4000026837,,19/02/2025,,100-000-851-991
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,18/02/2025,SLOVAKIA,Debt with denomination ≥ €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000026910,,19/02/2025,,100-000-852-319
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,14/02/2025,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026878,,14/02/2025,,100-000-849-296
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,12/02/2025,SLOVAKIA,Debt with denomination < €100.000,JTSEC Financing III a. s. - 097900CAKA0000179037,SK4000026886,,12/02/2025,,100-000-848-603
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,10/02/2025,SLOVAKIA,Debt with denomination < €100.000,"Alto Funding 2, s. r. o. - 097900CAKA0000232387",SK4000026837,,11/02/2025,,100-000-846-705
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,04/02/2025,SLOVAKIA,Debt with denomination < €100.000,SNP Energy Funding s. r. o. - 097900CAKA0000175836,SK4000026795,,27/02/2025,,100-000-855-833
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,30/01/2025,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000026787,,31/01/2025,,100-000-838-728
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 12000000,,30/01/2025,SLOVAKIA,Debt with denomination < €100.000,"Sympatia Partners, a. s. - 31570058QVAYI52STP92",SK4000026803,,03/03/2025,,100-000-845-461
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1500000,,28/01/2025,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026779,,29/01/2025,,100-000-837-474
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,28/01/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000026464,,28/01/2025,,100-000-836-853
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,27/01/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000026464,,28/01/2025,,100-000-836-855
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,24/01/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000026464,,24/01/2025,,100-000-835-618
Standalone Prospectus,Standalone prospectus,Max 3500000,,21/01/2025,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000025896,,22/01/2025,,NBS1-000-105-436
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,21/01/2025,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026746,,21/01/2025,,100-000-833-772
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,21/01/2025,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026720,,21/01/2025,,100-000-833-775
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,21/01/2025,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026738,,21/01/2025,,100-000-833-776
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,20/01/2025,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026704,,21/01/2025,,100-000-833-768
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 130000000,15/01/2025,13/01/2025,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003568768,15/01/2025,15/01/2025,CZECHIA,100-000-829-633
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 130000000,15/01/2025,13/01/2025,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003568776,15/01/2025,15/01/2025,CZECHIA,100-000-830-941
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,13/01/2025,SLOVAKIA,Debt with denomination ≥ €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026696,,13/01/2025,,100-000-829-039
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,07/01/2025,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026688,,08/01/2025,,100-000-827-225
Standalone Prospectus,Standalone prospectus,Max 600000,,18/12/2024,SLOVAKIA,Shares,Avanea Investment Holding a.s. - 097900BJLI0000217077,SK1000025116,,20/12/2024,,NBS1-000-103-849
Standalone Prospectus,Standalone prospectus,Max 291200,,18/12/2024,SLOVAKIA,Shares,Avanea Investment Holding a.s. - 097900BJLI0000217077,SK1000025124,,20/12/2024,,NBS1-000-104-350
Standalone Prospectus,Standalone prospectus,Max 392533,,18/12/2024,SLOVAKIA,Shares,Avanea Investment Holding a.s. - 097900BJLI0000217077,SK1000025397,,20/12/2024,,NBS1-000-104-351
Standalone Prospectus,Standalone prospectus,Max 3538,,18/12/2024,SLOVAKIA,Shares,Avanea Investment Holding a.s. - 097900BJLI0000217077,SK1000025389,,20/12/2024,,NBS1-000-104-352
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 150000000,,17/12/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026589,,17/12/2024,,100-000-818-887
Standalone Prospectus,Standalone prospectus,Max 500000,,11/12/2024,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000026456,,11/12/2024,,NBS1-000-104-379
Standalone Prospectus,Standalone prospectus,Max 12000000,,05/12/2024,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000026308,,05/12/2024,,NBS1-000-104-061
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 20000000,04/12/2024,04/12/2024,SLOVAKIA,Debt with denomination < €100.000,"DIFOSIS, SE - 097900CAKA0000105511",SK4000026605,04/12/2024,04/12/2024,FRANCE,100-000-811-197
Standalone Prospectus,Standalone prospectus,Max 50000000,,03/12/2024,SLOVAKIA,Debt with denomination < €100.000,"Pro Partners Holding, a.s. - 097900BGMJ0000059415",SK4000026209,,06/12/2024,,NBS1-000-104-147
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,03/12/2024,SLOVAKIA,Debt with denomination < €100.000,JTSEC Financing III a. s. - 097900CAKA0000179037,SK4000026571,,03/12/2024,,100-000-810-571
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,03/12/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026381,,03/12/2024,,100-000-810-578
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 20000000,,28/11/2024,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000026464,,29/11/2024,,100-000-807-847
Standalone Prospectus,Standalone prospectus,Max 27000000,,25/11/2024,SLOVAKIA,Debt with denomination < €100.000,"UK Triptych financing, s.r.o. - 097900CAKA0000217255",SK4000026282,,28/11/2024,,NBS1-000-103-894
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,25/11/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026472,,25/11/2024,,100-000-802-694
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,25/11/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026480,,25/11/2024,,100-000-802-696
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 20000000,,25/11/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026498,,25/11/2024,,100-000-802-697
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,25/11/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000026506,,25/11/2024,,100-000-802-698
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,22/11/2024,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026514,,27/11/2024,,100-000-804-662
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 86000000,,18/11/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023503,,20/11/2024,,100-000-800-595
Standalone Prospectus,Standalone prospectus,Max 22000000,,30/10/2024,SLOVAKIA,Debt with denomination < €100.000,Mlynárka Land Development s.r.o. - 097900CAKA0000213763,SK4000026191,,31/10/2024,,NBS1-000-103-333
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,30/10/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023503,,04/11/2024,,100-000-790-629
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,25/10/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025367,,28/10/2024,,100-000-788-766
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,23/10/2024,SLOVAKIA,Debt with denomination < €100.000,"DIFOSIS, SE - 097900CAKA0000105511",SK4000026175,,24/10/2024,,100-000-787-455
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,23/10/2024,SLOVAKIA,Debt with denomination < €100.000,"DIFOSIS, SE - 097900CAKA0000105511",SK4000026167,,24/10/2024,,100-000-787-451
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,23/10/2024,SLOVAKIA,Debt with denomination < €100.000,"DIFOSIS, SE - 097900CAKA0000105511",SK4000026183,,24/10/2024,,100-000-787-457
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,22/10/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025458,,22/10/2024,,100-000-785-278
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,21/10/2024,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023982,,22/10/2024,,100-000-785-276
Standalone Prospectus,Standalone prospectus,Max 30000000,,18/10/2024,SLOVAKIA,Debt with denomination < €100.000,"J&T ARCH BOND II., a. s. - 097900CAKA0000190386",SK4000026159,,25/10/2024,,NBS1-000-103-250
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,16/10/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026142,,17/10/2024,,100-000-783-445
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 410000000,15/10/2024,14/10/2024,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003566507,15/10/2024,15/10/2024,CZECHIA,100-000-782-786
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 410000000,15/10/2024,14/10/2024,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003566515,15/10/2024,15/10/2024,CZECHIA,100-000-782-792
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,10/10/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000026092,,10/10/2024,,100-000-781-431
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000,,07/10/2024,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026050,,28/11/2024,,100-000-778-755
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,07/10/2024,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026076,,28/11/2024,,100-000-778-759
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000,,07/10/2024,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000026068,,07/10/2024,,100-000-778-758
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 100000000,,07/10/2024,SLOVAKIA,Debt with denomination < €100.000,JTSEC Financing III a. s. - 097900CAKA0000179037,SK4000026035,,08/10/2024,,100-000-779-562
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,07/10/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000026043,,08/10/2024,,100-000-779-566
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,01/10/2024,SLOVAKIA,Debt with denomination < €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000026019,,02/10/2024,,100-000-776-990
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,19/09/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000025953,,19/09/2024,,100-000-770-002
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 15000000,,13/09/2024,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025904,,17/09/2024,,100-000-768-135
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 150000000,,11/09/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000025912,,13/09/2024,,100-000-765-153
Standalone Prospectus,Standalone prospectus,Max 160000000,23/09/2024,06/09/2024,SLOVAKIA,Debt with denomination < €100.000,KKCG Financing 2 a. s. - 097900CAKA0000199795,SK4000025938,17/09/2024,17/09/2024,CZECHIA,NBS1-000-101-982
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 6000000,,05/09/2024,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025904,,06/09/2024,,100-000-762-228
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,26/08/2024,SLOVAKIA,Debt with denomination < €100.000,SNP Energy Funding s. r. o. - 097900CAKA0000175836,SK4000025870,,26/08/2024,,100-000-758-030
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 410000000,21/08/2024,20/08/2024,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003564908,21/08/2024,21/08/2024,CZECHIA,100-000-754-538
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 410000000,,20/08/2024,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003564916,,21/08/2024,,100-000-754-536
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 100000000,,16/08/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025839,,19/08/2024,,100-000-753-528
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 6000000,,16/08/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025813,,19/08/2024,,100-000-753-530
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,16/08/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025821,,19/08/2024,,100-000-753-535
Standalone Prospectus,Standalone prospectus,Max 40000000,,01/08/2024,SLOVAKIA,Debt with denomination < €100.000,"Východoslovenská vodárenská spoločnosť, a.s. - 213800KZBUKL7G5OPF59",SK4000023198,,02/08/2024,,NBS1-000-100-779
Standalone Prospectus,Standalone prospectus,Max 8800,,27/07/2024,SLOVAKIA,Shares,Across Apparel Investments a. s. - 097900CAKA0000114726,SK1000026585,,05/08/2024,,NBS1-000-097-785
Standalone Prospectus,Standalone prospectus,Max 15000000,,17/07/2024,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000025342,,19/07/2024,,NBS1-000-099-972
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,08/07/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000025664,,09/07/2024,,100-000-733-136
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 475000000,,03/07/2024,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003563850,,18/07/2024,,100-000-730-817
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 475000000,,03/07/2024,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003563843,,18/07/2024,,100-000-730-825
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 150000000,02/07/2024,02/07/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"365.bank, a. s. - 315700PLTAXHBHZP5J02",XS2854419277,02/07/2024,02/07/2024,LUXEMBOURG,100-000-729-181
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,02/07/2024,SLOVAKIA,Debt with denomination < €100.000,"FVE Systems, s. r. o. - 3157007EM1C8DVKJE163",SK4000025672,,03/07/2024,,100-000-730-402
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,01/07/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025284,,02/07/2024,,100-000-729-069
Standalone Prospectus,Standalone prospectus,Max 15000000,,28/06/2024,SLOVAKIA,Debt with denomination < €100.000,CS Apparel Group a.s. - 315700NDPAD8K45R1C44,SK4000025391,,02/07/2024,,NBS1-000-099-726
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,18/06/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000025425,,18/06/2024,,100-000-720-900
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,18/06/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025532,,19/06/2024,,100-000-722-601
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 100000000,,18/06/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025524,,19/06/2024,,100-000-722-605
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 6000000,,18/06/2024,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000025516,,19/06/2024,,100-000-722-608
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,06/06/2024,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000025417,,06/06/2024,,100-000-715-390
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,06/06/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025458,,06/06/2024,,100-000-715-181
Standalone Prospectus,Standalone prospectus,Max 44210530,06/06/2024,05/06/2024,SLOVAKIA,Shares,"Tatry mountain resorts, a.s. - 315700YHD1JR6VB1BA90",SK1120010287,06/06/2024,06/06/2024,"CZECHIA,POLAND",NBS1-000-099-023
Standalone Prospectus,Standalone prospectus,Max 35000000,,05/06/2024,SLOVAKIA,Debt with denomination < €100.000,"JTRE Financing 5, s. r. o. - 097900CAKA0000172247",SK4000025359,,06/06/2024,,NBS1-000-098-611
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 20000000,,27/05/2024,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000025367,,28/05/2024,,100-000-710-589
